id,title,mime_type,full_source_url
1290,555560283_122238784478079609_1587755834170295017_n,image/jpeg,http://islandhouse.wales/wp-content/uploads/2025/10/555560283_122238784478079609_1587755834170295017_n.jpg
1281,Island-House-Aerial-1-2048×1152,image/png,http://islandhouse.wales/wp-content/uploads/2024/12/Island-House-Aerial-1-2048x1152-1.png
1277,Untitled design – 2024-02-25T173333.656,image/png,http://islandhouse.wales/wp-content/uploads/2024/02/Untitled-design-2024-02-25T173333.656.png
1261,IMG_7219,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_7219-scaled.jpeg
1260,IMG_7217,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_7217-scaled.jpeg
1259,IMG_7216,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_7216-scaled.jpeg
1258,IMG_7214,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_7214-scaled.jpeg
1257,IMG_7221,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_7221-scaled.jpeg
1250,IMG_6210,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6210-scaled.jpeg
1249,IMG_6207,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6207-scaled.jpeg
1248,IMG_6204,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6204-scaled.jpeg
1247,IMG_6199,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6199-scaled.jpeg
1246,IMG_6197,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6197-scaled.jpeg
1245,IMG_6195,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/07/IMG_6195-scaled.jpeg
1236,IMG_4131,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/IMG_4131-scaled.jpg
1235,IMG_4131,image/heic,http://islandhouse.wales/wp-content/uploads/2023/01/IMG_4131.heic
1234,1 – 1,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/1-1.jpeg
1233,1 – 2,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/1-2.jpeg
1232,1 – 3,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/1-3.jpeg
1231,1 – 4,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/1-4.jpeg
1230,1 – 5,image/jpeg,http://islandhouse.wales/wp-content/uploads/2023/01/1-5.jpeg
1211,Getting Island House Watertight,image/png,http://islandhouse.wales/wp-content/uploads/2022/11/Screenshot-2022-11-22-at-13.27.26.png
1202,1 – 6,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-6-scaled.jpeg
1201,1 – 6 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-6-1.jpeg
1200,1 – 5,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-5.jpeg
1199,1 – 5 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-5-1.jpeg
1198,1 – 4,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-4.jpeg
1197,1 – 4 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-4-1.jpeg
1196,1 – 3,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-3-scaled.jpeg
1195,1 – 3 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-3-1.jpeg
1194,1 – 2,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-2.jpeg
1193,1 – 2 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-2-1.jpeg
1192,1 – 1,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-1.jpeg
1186,1 – 1 (1),image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/11/1-1-1.jpeg
1152,35NE0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/35NE0721.jpeg
1151,35NSE0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/35NSE0721.jpeg
1149,31NS0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/31NS0721.jpeg
1148,31NS0121,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/31NS0121.jpeg
1146,20SW0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/20SW0721.jpeg
1145,20SW0121,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/20SW0121.jpeg
1144,20NE0121,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/20NE0121.jpeg
1143,20NE0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/20NE0721.jpeg
1141,16NW0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/16NW0721.jpeg
1140,17SW1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/17SW1220.jpeg
1139,17SW0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/17SW0721.jpeg
1138,16NW1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/16NW1220.jpeg
1136,6SE1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/6SE1220.jpeg
1135,6SE0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/6SE0721.jpeg
1134,13NW1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/13NW1220.jpeg
1133,13NW0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/13NW0721.jpeg
1131,2SW1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/2SW1220.jpeg
1130,2SW0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/2SW0721.jpeg
1129,4SE1220,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/4SE1220.jpeg
1128,4SE0721,image/jpeg,http://islandhouse.wales/wp-content/uploads/2020/04/4SE0721.jpeg
1071,Island House Restoration Ltd Exhibition,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/264210936_10159609968798629_5589075425275281351_n.jpg
1068,Video – By Rob Scourfield,image/png,http://islandhouse.wales/wp-content/uploads/2022/02/Screenshot-2022-02-10-at-13.04.08.png
1060,Illustrative 3D Visualisations,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/VISUAL-03.pdf_1.jpg
1059,VISUAL-02.pdf_1,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/VISUAL-02.pdf_1.jpg
1058,VISUAL-01.pdf_1,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/VISUAL-01.pdf_1.jpg
1057,The Team,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/THE-TEAM.pdf_1.jpg
1056,Proposed Sections,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/THE-PROPOSALS-SECTIONS.pdf_1.jpg
1055,THE-PROPOSALS-FLOOR-PLANS-2.pdf_1,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/THE-PROPOSALS-FLOOR-PLANS-2.pdf_1.jpg
1054,Floor Plans,image/jpeg,http://islandhouse.wales/wp-content/uploads/2022/02/THE-PROPOSALS-FLOOR-PLANS-1.pdf_1.jpg
